t3knoid,Coffee or Pizza,40.76709527*-73.92229904,0
leegahyah,Coffee or Pizza,40.75254405*-73.92123122,0
cfoundas,Coffee or Pizza,40.75361718*-73.9839585,0
MikeTRose,Coffee or Pizza,40.68723641*-73.98982379,0
aubshiny,Coffee or Pizza,40.73678126*-73.98684525,0
meeshyamps,Coffee or Pizza,40.69203823*-73.94240855,0
brittabrack,Coffee or Pizza,40.8214793*-73.94461283,0
taliabethralph,Coffee or Pizza,40.70507899*-73.93364404,0
DonImperioNY,Coffee or Pizza,40.6992799*-73.6059395,0
richiealicea,Coffee or Pizza,40.71735293*-73.96039224,0
tannata,Coffee or Pizza,40.75372*-73.98343,0
AlanJBayoneto,Coffee or Pizza,40.75196671*-73.99312939,0
dahsarshad,Coffee or Pizza,40.71779411*-73.9590168,0
BizarroJoeG,Coffee or Pizza,40.82043253*-74.1003926,0
melmermaid_,Coffee or Pizza,40.72988293*-74.00054383,0
Kwass,Coffee or Pizza,40.62372783*-73.964588,0
michalski_luke,Coffee or Pizza,40.7460865*-74.00156736,0
homeallsummer,Coffee or Pizza,40.73184425*-73.98386478,0
davidwickman,Coffee or Pizza,40.70263748*-73.99361145,0
lovetrish,Coffee or Pizza,40.74442975*-73.98448076,0
pinakes,Coffee or Pizza,40.70735835*-73.92235071,0
belizabeth86,Coffee or Pizza,40.75086402*-74.0268077,0
RockNRebl87,Coffee or Pizza,40.78874622*-73.80870581,0
tripleseis,Coffee or Pizza,40.92851893*-73.75251174,0
jlviking,Coffee or Pizza,40.54723208*-74.15789466,0
TeshawnEdmonds,Coffee or Pizza,40.67296847*-73.87084187,0
EricLang_,Coffee or Pizza,40.98530006*-74.02563144,0
atlamb,Coffee or Pizza,40.75072501*-74.02686752,0
foolfromqueens,Coffee or Pizza,40.70829422*-73.86927239,0
Anijake,Coffee or Pizza,40.60916262*-73.93201823,0
sneakinhysteria,Coffee or Pizza,40.798249*-73.96913926,0
SarahMShaker,Coffee or Pizza,40.726807*-73.983421,0
ErsunSivuran,Coffee or Pizza,40.83400153*-74.09019442,0
MarkSun1962,Coffee or Pizza,40.99706025*-73.81765374,0
tloinc_forever,Coffee or Pizza,40.82906923*-73.94876876,0
Kumplex,Coffee or Pizza,40.871212*-74.03316915,0
boardinggroup1,Coffee or Pizza,40.76249994*-73.99698012,0
frankdjr,Coffee or Pizza,40.56084561*-74.1358066,0
foodwinechickie,Coffee or Pizza,40.92319489*-74.34407043,0
katologic,Coffee or Pizza,40.71779411*-73.9590168,0
CastroLuisE,Coffee or Pizza,40.68396536*-73.91699433,0
toofrank,Coffee or Pizza,40.70263748*-73.99361145,0
StanSher,Coffee or Pizza,40.41753828*-74.37093226,0
boardinggroup1,Coffee or Pizza,40.76249994*-73.99698012,0
KC8PNL,Coffee or Pizza,40.830592*-73.689979,0
EsotericIsLike,Coffee or Pizza,40.71863447*-74.00013639,0
MasterGio,Coffee or Pizza,40.73691718*-73.98961008,0
sr200179,Coffee or Pizza,40.7530171*-73.9852808,0
kellypurkey,Coffee or Pizza,40.73493358*-74.0021199,0
taliabethralph,Coffee or Pizza,40.683735*-73.935409,0
_senior_,Coffee or Pizza,40.99467013*-73.88262749,0
margums,Coffee or Pizza,40.75866519*-73.97882192,0
nikitadodani,Coffee or Pizza,40.73500513*-73.99326138,0
mattypeks,Coffee or Pizza,40.745325*-74.03237,0
brandoncgNYC,Coffee or Pizza,40.76249994*-73.99698012,0
chizog,Coffee or Pizza,40.70985911*-74.10149957,0
CLworldtraveler,Coffee or Pizza,40.70507899*-73.93364404,0
BigRedShops,Coffee or Pizza,40.979567*-74.118215,0
bramos2000,Coffee or Pizza,40.737035*-73.990558,0
itsleesimpson,Coffee or Pizza,40.73995751*-73.99083853,0
OneLikeRaquel,Coffee or Pizza,40.74590156*-73.98814227,0
Agleaves3,Coffee or Pizza,40.7271903*-73.98609918,0
fireloco4ever,Coffee or Pizza,40.74530618*-73.94837379,0
